Ano;Nº do Processo;Tramitação;Tipo de Contrato;Tipo de instrumento Macro;Objeto de Análise;Tipo de Serviços ou parcerias;Parceiro / Contratante;CNPJ;Unidade UFRJ;Sigla Unidade;Centro;Coordenador;Interveniente;Status;Nº Parecer;Parecer;Valor do Projeto;Data de Entrada AGI;Data de Saída AGI;Mês de Entrada;Dias;Data dif;Dias úteis;% DADOS CONCLUÍDO;x;Referências;Data Abertura do processo no SEI;Dias entrada até a AGI;Entrada na Procuradoria;Saída da Procuradoria;Dias PROC;Contrato assinado?;Desistiu da Tramitação do processwo;Data de assinatura do contrato;Dias até a assinatura;Vigência do proj (em meses);ANOTAÇÕES;Responsável;Código;Atividade Principal (CNAE);Ano de assinatura do contrato
2022;23079.233193/2021-16;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Município do Rio de Janeiro;;Instituto de Matemática;IM;CCMN;Wladimir Augusto das Neves;Coppetec;Concluído;23/2022;Favorável com recomendação;327200;2022-02-23;2022-02-28;Fev;5.0;44616.0;2;0.5;0;;2021-10-07 00:00:00;139;44504;44614;110;Sim;;45002;526.0;;;;;;
2022;23079.2332692021-03;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Estudos Técnicos;Companhia de Pesquisa em Recursos Minerais;"00.091.652/0001-89; 33.663.683/0029-17";Museu Nacional;FCC;GR;Sandro Marcelo Scheffler;Sem Interveniente;Concluído;53/2022;Totalmente favorável;;2022-04-18;2022-04-19;Abr;1.0;44670.0;1;;0;estabelecimento da cooperação acadêmica, técnico e científica entre o Laboratório de Paleoinvertebrados/LAPIN do Departamento de Geologia e Paleontologia, Museu Nacional/UFRJ e o Museu de Ciências da Terra através do setor de Salvaguarda e Pesquisa.;2021-10-07 00:00:00;193;44671;44678;7;Não;;;-44476.0;60;;;;;
2022;23079.234159/2021-51;Retorno de Processo;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Projeto de P&D;Novasynth Tecnologia LTDA;41.089.291/0001-13;Instituto de Química;IQ;CCMN;Rodrigo Octavio M. A. de Souza;Coppetec;Concluído;25/2022;Totalmente favorável;102939.2;2022-02-23;2022-02-28;Fev;5.0;44616.0;2;0.75;0;;2021-10-14 00:00:00;132;44671;44685;14;Não;;;-44483.0;12;;;;;
2022;23079.234555/2021-88;1ª tramitação;Emenda Parlamentar/Subvenção;Outros;Contrato;Projeto de P&D;GIZ - Governo da Alemanha;;Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa em Engenharia - COPPE;COPPE;CT;Suzana Kahn Ribeiro/ Andrea Souza Santos;Coppetec;Concluído;28/2022;Favorável com recomendação;E 1.137.583,20;2022-02-21;2022-03-01;Fev;8.0;44614.0;4;1.0;1;Hidrogênio Verde/ Descentralização de Recursos;2021-10-18 00:00:00;126;44623;44623;0;Sim;;44635;148.0;60;;;;;
2022;23079.234662/2021-14;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;Testes Clínicos;NOVARTIS BIOCIÊNCIAS S.A;56.994.502/0001-30;Departamento de Pediatria;HUCFF;CCS;Marcelo Gerardin Poirot Land;Coppetec;Concluído;21/2022;Totalmente favorável; $               9.000,00 ;2022-02-22;2022-02-23;Fev;1.0;44615.0;1;1.0;1;;2021-10-19 00:00:00;126;-;-;-;Sim;;44749;261.0;3;;;;;
2023;23079.234928/2021-11;Retorno de Processo;Outros;Outros;Outros;Termo de Confidencialidade;EBS Fábrica de Máquinas Industriais Ltda.;75.114.116/0001-50;CT: Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe);COPPE;CT;Marcos Aurélio Vasconcelos de Freitas;Sem interveniente;Concluído;Folha Informação;;Sem repasse;2023-05-30;2023-06-01;Mai;2.0;;2;1.0;1;;2021-10-20 00:00:00;587;44557;44558;1;Sim;;2023-12-11 00:00:00;-44489.0;;;;28.62-3-00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;2023.0
2023;23079.234928/2021-11;Retorno de Processo;Outros;Outros;Outros;Termo de Confidencialidade;EBS Fábrica de Máquinas Industriais Ltda.;75.114.116/0001-50;CT: Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe);COPPE;CT;Marcos Aurélio Vasconcelos de Freitas;Sem interveniente;Concluído;Folha Informação;;Sem repasse;2023-06-06;2023-06-13;Jun;7.0;;3;1.0;1;NDA;2021-10-20 00:00:00;594;44557;45288;731;Sim;;2023-12-11 00:00:00;-44489.0;;;;28.62-3-00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;2023.0
2023;23079.234928/2021-11;Retorno de Processo;Outros;Outros;Outros;Termo de Confidencialidade;EBS Fábrica de Máquinas Industriais Ltda.;75.114.116/0001-50;CT: Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia (Coppe);COPPE;CT;Marcos Aurélio Vasconcelos de Freitas;Sem interveniente;Concluído;Folha Informação;;Sem repasse;2023-06-19;2023-06-22;Jun;3.0;;3;1.0;1;Termo de Confidencialidade (retorno assinado);2021-10-20 00:00:00;607;44557;44558;1;Sim;;2023-12-11 00:00:00;-44489.0;;;;28.62-3-00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;2023.0
2022;23079.235191/2021-53;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;;NOVO NORDISK;82.277.955/0001-55;Hospital Universitário Clementino Fraga Filho;HUCFF;CCS;Cristiane Alves Villela Nogueira;Coppetec;Concluído;03/2022;Totalmente favorável; $                405.000,00 ;2022-01-11;2022-01-12;Jan;1.0;44573.0;1;1.0;1;"O efeito da semaglutida em indivíduos com esteato-hepatite não alcoólica e não
cirrotica";2021-10-22 00:00:00;81;-;-;;Sim;;44602;111.0;60;;;;;
2022;23079.235917/2021-58;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Treinamentos;Município do Rio de Janeiro;42.498.733/0001-48;Faculdade de Odontologia;FO;CCS;Maria Augusta Visconti Rocha Pinto;Sem Interveniente;Concluído;48/2022;Totalmente favorável;;2022-04-11;2022-04-13;Abr;2.0;44663.0;2;0.75;0;Capacitação de profissionais cirurgiões-dentistas, que atuem na Atenção Primária ou Secundária de Saúde, ou na gestão da Atenção Primária da Prefeitura do Rio de Janeiro, no Curso de Mestrado Profissional em Clínica Odontológica da Faculdade de Odontologia da UFRJ (MPCO/FOUFRJ), para o exercício da prática profissional avançada e transformadora de procedimentos;2021-10-27 00:00:00;166;44665;44735;70;Não;;;-44496.0;48;;;;;
2022;23079.239567/2021-07;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;Cursos e capacitações;Defensoria Pública do Estado do Rio de Janeiro;31.443.526/0001-70;Instituto de Nutrição Josué de Castro;INJC;CCS;Renato Augusto da Silva Monteiro;Sem Interveniente;Concluído;66/2022;Totalmente favorável;;2022-05-06;2022-05-09;Mai;3.0;44688.0;1;1.0;1;Desenvolvimentos de ações conjuntas acerca dos direitos de pessoas transgeneras no contexto do projeto de extensão universitária Transgarçonne e da atuação do NUDIVERSIS;2021-11-19 00:00:00;168;44691;44706;15;Não;;;-44519.0;36;;;;;
2022;23079.239696/2021-97;1ª tramitação;Prestação de Serviços;Prestação de Serviços;Contrato;;POTAMOS ENGENHARIA E HIDROLOGIA LTDA;71.088.322/0001-82;Escola de Química;EQ;CT;Michelle Gonçalves Mothé;Coppetec;Concluído;02/2022;Totalmente favorável;47849.5;2022-01-07;2022-01-07;Jan;1.0;44568.0;1;1.0;1;Avaliação Reológica de Rejeitos Industriais;2021-11-20 00:00:00;48;-;-;;Sim;;44538;18.0;3;;;;;
2022;23079.240735/2021-07;1ª tramitação;Acordo de Parceria/ Convênio;Acordo de Parceria/ Convênio;Contrato;;University College of London;Instituição estrangeira;Faculdade de Educação;FE;CFCH;Ana Angelita Rocha;Sem Interveniente;Concluído;01/2022;Totalmente favorável; N/A ;2022-01-03;2022-01-03;Jan;1.0;44564.0;1;1.0;1;Protocolo de intenções Universidade Federal do Rio de Janeiro e University College of London;2021-11-27 00:00:00;37;44567;44578;11;Sim;;44671;144.0;;;;;;
